c_id,c_name,c_address,c_pin
2,"Indian Institute of Technology Delhi","IIT Campus, Hauz Khas, New Delhi",110016
3,"Indian Institute of Technology Kanpur","Kalyanpur, Kanpur, Uttar Pradesh",208016
4,"Indian Institute of Technology Kharagpur","Kharagpur, West Bengal",721302
5,"Indian Institute of Technology Chennai","Chennai, Tamil Nadu",600036
6,"Birla Institute of Technology and Science","Vidya Vihar, Pilani, Rajasthan",333031
7,"Dhirubhai Ambani Institute of Information and Communication Technology","Reliance Cross Rd, Gandhinagar, Gujarat",382007
8,"International Institute of Information Technology Bengaluru","26/C, Hosur Rd, Electronic City, Bengaluru, Karnataka",560100
9,"National Institute of Technology,Tiruchirappalli","Tamil Nadu",620015
